AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
11.0,9,120,20190401040000,9,10.12,15.243138,-406836.0,0.7861328,45.966614
3.799999952316284,9,131,20190401040000,9,2.52,21.090794,-400116.0,0.56396484,47.316223
2.200000047683716,10,107,20190401040000,285,0.04,5.6532946,-436404.0,0.7394409,38.454895
1.2000000476837158,1,119,20190401040000,16,2.04,13.153295,-351092.0,0.8088989,45.525208
0.800000011920929,1,121,20190401040000,17,2.06,13.153295,-351092.0,0.8088989,45.525208
26.399999618530273,1,132,20190401040000,10,12.66,19.551731,-541556.0,0.517334,45.392395
0.30000001192092896,2,118,20190401040000,12,5.06,13.153295,-351092.0,0.8088989,45.525208
6.199999809265137,2,117,20190401040000,12,5.06,13.153295,-351092.0,0.8088989,45.525208
0.5,2,119,20190401040000,14,5.06,13.153295,-351092.0,0.8088989,45.525208
19.799999237060547,6,124,20190401040000,9,12.4,17.5322,-414772.0,0.7678833,46.218567
0.30000001192092896,2,122,20190401040000,12,2.06,15.340795,-402100.0,0.69714355,44.5506
2.5999999046325684,9,102,20190401040000,658,0.0,3.582982,-386228.0,0.6960449,35.384583
21.0,8,122,20190401040000,10,8.8,17.5322,-414772.0,0.7678833,46.218567
11.399999618530273,7,127,20190401040000,11,12.62,17.5322,-414772.0,0.7678833,46.218567
13.800000190734863,7,115,20190401040000,104,9.66,9.82517,-397620.0,0.7313843,42.80255
1.2000000476837158,7,109,20190401040000,231,0.52,9.82517,-397620.0,0.7313843,42.80255
1.399999976158142,7,108,20190401040000,69,0.52,5.6532946,-436404.0,0.7394409,38.454895
21.200000762939453,4,125,20190401040000,12,10.34,15.340795,-402100.0,0.69714355,44.5506
6.199999809265137,6,133,20190401040000,9,8.48,21.090794,-400116.0,0.56396484,47.316223
10.199999809265137,6,118,20190401040000,10,5.02,15.243138,-406836.0,0.7861328,45.966614
23.399999618530273,10,113,20190401040000,125,0.04,9.82517,-397620.0,0.7313843,42.80255
3.5999999046325684,9,109,20190401040000,372,0.52,9.82517,-397620.0,0.7313843,42.80255
4.800000190734863,10,128,20190401040000,10,9.179999,21.090794,-400116.0,0.56396484,47.316223
4.199999809265137,11,106,20190401040000,202,0.0,5.6532946,-436404.0,0.7394409,38.454895
5.400000095367432,11,124,20190401040000,8,8.74,17.5322,-414772.0,0.7678833,46.218567
5.0,12,107,20190401040000,175,0.0,4.004857,-473332.0,0.67004395,39.3631
33.20000076293945,12,116,20190401040000,80,5.08,12.473607,-440436.0,0.80474854,46.03888
22.0,12,117,20190401040000,27,5.2599998,12.473607,-440436.0,0.80474854,46.03888
39.79999923706055,10,117,20190401040000,11,9.66,15.243138,-406836.0,0.7861328,45.966614
0.20000000298023224,5,106,20190401040000,321,0.0,6.235326,-345076.0,0.6739502,40.13849
0.800000011920929,5,114,20190401040000,17,0.62,9.598607,-330868.0,0.63305664,43.841614
9.0,5,121,20190401040000,9,5.08,13.153295,-351092.0,0.8088989,45.525208
1.2000000476837158,6,112,20190401040000,91,0.62,9.82517,-397620.0,0.7313843,42.80255
5.400000095367432,6,116,20190401040000,10,4.96,15.243138,-406836.0,0.7861328,45.966614
3.200000047683716,1,117,20190401040000,12,2.04,13.153295,-351092.0,0.8088989,45.525208
32.599998474121094,4,130,20190401040000,10,10.599999,19.551731,-541556.0,0.517334,45.392395
17.200000762939453,13,115,20190401050000,116,4.7215166,10.69763,-379535.0,0.75128174,42.056335
0.20000000298023224,13,111,20190401050000,203,0.016862161,10.69763,-379535.0,0.75128174,42.056335
0.10000000149011612,20,135,20190401050000,9,0.0,24.318724,-326223.0,0.21795654,46.780945
0.0,72,84,20190401050000,354,0.0,28.971067,-766927.0,0.15081787,35.439148
0.0,62,191,20190401050000,0,0.0,10.529661,-185487.0,0.10900879,43.43524
0.0,60,238,20190401050000,0,0.0,22.814817,-235215.0,0.09063721,48.405945
0.0,60,26,20190401050000,320,0.0,4.38513,-1182735.0,0.033203125,37.011414
0.0,58,150,20190401050000,0,0.0,20.736692,-162191.0,0.12652588,45.737976
0.0,49,233,20190401050000,43,0.0,13.584349,-812751.0,0.10876465,45.38446
0.0,42,196,20190401050000,48,0.0,7.639036,-235087.0,0.022888184,43.37274
0.0,42,9,20190401050000,1188,0.0,5.3929424,-1308943.0,0.053649902,28.704773
0.0,34,209,20190401050000,21,0.0,22.377317,-981583.0,0.22662354,46.63446
0.0,33,76,20190401050000,957,0.0,8.252317,-617743.0,0.15576172,25.63446
0.0,32,81,20190401050000,1251,0.0,18.236692,-654735.0,0.24206543,28.155945
0.0,22,130,20190401050000,9,0.0,24.693724,-451919.0,0.44110107,48.950867
3.5999999046325684,14,127,20190401050000,12,7.7397313,17.889036,-403663.0,0.7230835,47.50946
18.799999237060547,13,120,20190401050000,61,0.23229839,15.990599,-340943.0,0.7369995,45.46454
6.800000190734863,15,115,20190401050000,138,0.47093424,10.69763,-379535.0,0.75128174,42.056335
1.0,16,109,20190401050000,350,0.0,10.69763,-379535.0,0.75128174,42.056335
1.2999999523162842,17,115,20190401050000,62,0.38782966,10.69763,-379535.0,0.75128174,42.056335
5.0,17,118,20190401050000,39,0.40469185,15.990599,-340943.0,0.7369995,45.46454
0.20000000298023224,19,108,20190401050000,81,0.0,7.54138,-308239.0,0.7503052,40.880554
